RiderName_Zweeler,ValgtAf,ValgtAfPct
"Abrahamsen, Jonas",20,1
"Aniołkowski, Stanisław",20,1
"Kuss, Sepp",20,1
"Armirail, Bruno",19,1
"Costiou, Ewen",19,1
"Haig, Jack",19,1
"Izagirre, Ion",19,1
"Kristoff, Alexander",19,1
"Lopez, Juan Pedro",19,1
"Lutsenko, Alexey",19,1
"Rolland, Brieuc",19,1
"Ryan, Archie",19,1
"Cras, Steff",18,1
"Fortunato, Lorenzo",18,1
"Martin-Guyonnet, Guillaume",18,1
"Silva, Thomas",18,1
"Ballerini, Davide",17,1
"Capiot, Amaury",17,1
"Frigo, Marco",17,1
"Kämna, Lennard",17,1
"Menten, Milan",17,1
"Paret-Peintre, Aurélien",17,1
"Rodríguez, Cristian",17,1
"Donnenwirth, Tom",16,1
"Walscheid, Max",16,1
"Carthy, Hugh",15,1
"Gestel, Dries Van",15,1
"Godon, Dorian",15,1
"Sheehan, Riley",15,1
"Campenaerts, Victor",14,1
"Champoussin, Clément",14,1
"Sanchez, Pelayo",14,1
"Turgis, Anthony",14,1
"Verstrynge, Emiel",14,1
"Bardet, Romain",13,1
"Double, Paul",13,1
"Kwiatkowski, Michal",13,1
"Soler, Marc",13,1
"Wandahl, Frederik",13,1
"Aleotti, Giovanni",12,1
"Battistella, Samuele",12,1
"Beloki, Markel",12,1
"García Cortina, Iván",12,1
"Hofstetter, Hugo",12,1
"Jegat, Jordan",12,1
"Meintjes, Louis",12,1
"Nizzolo, Giacomo",12,1
"Pacher, Quentin",12,1
"Poels, Wout",12,1
"Albanese, Vincenzo",11,1
"Bissegger, Stefan",11,1
"Carr, Simon",11,1
"De La Cruz, David",11,1
"Dijke, Mick van",11,1
"Eenkhoorn, Pascal",11,1
"Plowright, Jensen",11,1
"Teunissen, Mike",11,1
"Tulett, Ben",11,1
"Vader, Milan",11,1
"Valter, Attila",11,1
"Vermeersch, Gianni",11,1
"Walls, Matt",11,1
"Chaves, Esteban",10,1
"Kubiš, Lukáš",10,1
"Moscon, Gianni",10,1
"Valgren, Michael",10,1
"Vermaerke, Kevin",10,1
"Caruso, Damiano",9,1
"Hamilton, Lucas",9,1
"Hermans, Quinten",9,1
"Hirt, Jan",9,1
"Leknessund, Andreas",9,1
"Molano, Sebastián",9,1
"Cattaneo, Mattia",8,1
"Ewan, Caleb",8,1
"Formolo, Davide",8,1
"García, Raúl",8,1
"Honoré, Mikkel",8,1
"Kajamini, Florian",8,1
"Lemmen, Bart",8,1
"Lonardi, Giovanni",8,1
"Mulubrhan, Henok",8,1
"Rota, Lorenzo",8,1
"Turner, Ben",8,1
"Vendrame, Andrea",8,1
"Woods, Michael",8,1
"Andersen, Søren Kragh",7,0
"Charmig, Anthon",7,0
"Démare, Arnaud",7,0
"Gibbons, Ryan",7,0
"Goossens, Kobe",7,0
"Hoelgaard, Markus",7,0
"Hoorn, Taco van der",7,0
"Kamp, Alexander",7,0
"Paar, Jarne Van de",7,0
"Sütterlin, Jasha",7,0
"Tejada, Harold",7,0
"Tiller, Rasmus",7,0
"Trentin, Matteo",7,0
"Vansevenant, Mauri",7,0
"Verona, Carlos",7,0
"Voisard, Yannis",7,0
"Wright, Fred",7,0
"Zanoncello, Enrico",7,0
"Zimmermann, Georg",7,0
"Zubeldia, Unai",7,0
"Askey, Lewis",6,0
"Bruttomesso, Alberto",6,0
"Consonni, Simone",6,0
"Durbridge, Luke",6,0
"Geniets, Kévin",6,0
"Gudmestad, Tord",6,0
"Hessmann, Michel",6,0
"Isidore, Noa",6,0
