Navn,Hold,Pris,Løbsdage,Point,Profit,Cheapo,Managers
"Fiorelli, Filippo",VF Group - Bardiani CSF - Faizanè,2.1,0,0,0.0,Ja,
"Fisher-Black, Finn",Red Bull - BORA - hansgrohe,7.8,7,116,14.9,,"Chrelle, Jappo"
"Flynn, Sean",Team Picnic PostNL,1.5,0,0,0.0,Ja,
"Foldager, Anders",Team Jayco AlUla,1.7,0,0,0.0,Ja,Hustlersen
"Formolo, Davide",Movistar Team,3.2,0,0,0.0,,
"Fortin, Filippo",Toscana Factory Team Vini Fantini,1.0,0,0,0.0,Ja,
"Fortunato, Lorenzo",XDS Astana Team,7.2,0,0,0.0,,
"Foss, Tobias",INEOS Grenadiers,5.0,1,0,0.0,,
"Fraile, Omar",INEOS Grenadiers,1.4,0,0,0.0,Ja,
"Fredheim, Stian",Uno-X Mobility,2.3,0,0,0.0,Ja,
"Fretin, Milan",Cofidis,3.5,0,0,0.0,,Matti
"Frigo, Marco",Israel - Premier Tech,2.1,0,0,0.0,Ja,Jarma
"Frison, Frederik",Q36.5 Pro Cycling Team,1.4,5,0,0.0,Ja,
"Froideveaux, Robin",Tudor Pro Cycling Team,1.2,0,0,0.0,Ja,
"Froome, Chris",Israel - Premier Tech,1.1,0,0,0.0,Ja,
"Fuentes, Angel",Burgos Burpellet BH,1.0,0,0,0.0,Ja,
"Fuglsang, Jakob",Israel - Premier Tech,2.5,0,0,0.0,Ja,
"Gachignard, Thomas",TotalEnergies,1.2,0,0,0.0,Ja,
"Gall, Felix",Decathlon AG2R La Mondiale,11.7,0,0,0.0,,"Chrelle, Matti, Visti"
"Galván, Francisco",Equipo Kern Pharma,1.0,0,0,0.0,Ja,
"Gamper, Patrick",Team Jayco AlUla,1.0,5,0,0.0,Ja,
"Ganna, Filippo",INEOS Grenadiers,16.1,0,0,0.0,,
"Ganzabal, Ander",Euskaltel - Euskadi,1.0,0,0,0.0,Ja,
"García Cortina, Iván",Movistar Team,4.4,0,0,0.0,,
"García, Carlos",Burgos Burpellet BH,1.0,0,0,0.0,Ja,
"García, Pablo",Team Polti VisitMalta,1.0,0,0,0.0,Ja,
"García, Raúl",Arkéa - BnB Hotels,2.4,0,0,0.0,Ja,
"Garofoli, Gianmarco",Soudal - Quick-Step,1.9,0,0,0.0,Ja,
"Gate, Aaron",XDS Astana Team,1.1,7,60,54.5,Ja,
"Gaudu, David",Groupama - FDJ,13.4,0,0,0.0,,
"Gautherat, Pierre",Decathlon AG2R La Mondiale,2.3,0,0,0.0,Ja,
"Gaviria, Fernando",Movistar Team,7.1,0,0,0.0,,
"Gaze, Samuel",Alpecin - Deceuninck,1.0,0,0,0.0,Ja,
"Gazzoli, Michele",XDS Astana Team,1.9,0,0,0.0,Ja,
"Gee, Derek",Israel - Premier Tech,12.3,0,0,0.0,,"Jappo, Okholm"
"Geens, Jonas",Team Flanders - Baloise,1.0,0,0,0.0,Ja,
"Gelders, Gil",Soudal - Quick-Step,1.4,0,0,0.0,Ja,
"Geleijn, Owen",Unibet Tietema Rockets,1.0,0,0,0.0,Ja,
"Gendt, Aimé De",Cofidis,1.1,0,0,0.0,Ja,
"Geniets, Kévin",Groupama - FDJ,1.4,0,0,0.0,Ja,
"Geoghegan Hart, Tao",Lidl - Trek,10.7,0,0,0.0,,"Jarma, Okholm"
"Gerits, Vince",Team Flanders - Baloise,1.0,0,0,0.0,Ja,
"Germani, Lorenzo",Groupama - FDJ,1.2,0,0,0.0,Ja,
"Gesbert, Elie",Arkéa - BnB Hotels,1.2,0,0,0.0,Ja,
"Gestel, Dries Van",Soudal - Quick-Step,3.5,0,0,0.0,,
"Ghebreigzabhier, Amanuel",Lidl - Trek,1.3,1,0,0.0,Ja,
"Ghys, Robbe",Alpecin - Deceuninck,1.0,0,0,0.0,Ja,
"Gibbons, Ryan",Lidl - Trek,1.3,0,0,0.0,Ja,
"Giddings, Joshua",Lotto,1.2,0,0,0.0,Ja,
"Gils, Maxim Van",Red Bull - BORA - hansgrohe,19.9,0,0,0.0,,"Kenk, Matti"
"Gimeno, Nil",Equipo Kern Pharma,1.0,0,0,0.0,Ja,
"Girmay, Biniam",Intermarché - Wanty,16.0,0,0,0.0,,"Jappo, Knak, Matti, Okholm, Visti"
"Glivar, Gal",Alpecin - Deceuninck,1.6,6,0,0.0,Ja,
"Gloag, Thomas",Team Visma - Lease a Bike,3.2,6,55,17.2,,
"Godon, Dorian",Decathlon AG2R La Mondiale,6.4,6,3,0.5,,
"Gogl, Michael",Alpecin - Deceuninck,1.0,0,0,0.0,Ja,
"Gomez, Germán",Team Polti VisitMalta,1.0,0,0,0.0,Ja,
"González, Abner",Caja Rural - Seguros RGA,1.3,5,0,0.0,Ja,
"González, David",Q36.5 Pro Cycling Team,1.2,1,0,0.0,Ja,
"González, Roberto",Toscana Factory Team Vini Fantini,1.0,0,0,0.0,Ja,
"Goossens, Kobe",Intermarché - Wanty,2.2,0,0,0.0,,
"Govekar, Matevž",Bahrain Victorious,4.4,0,0,0.0,,
"Graat, Tijmen",Team Visma - Lease a Bike,1.7,6,0,0.0,Ja,
"Gradek, Kamil",Bahrain Victorious,1.0,1,0,0.0,Ja,
"Graeve, Quinten De",Team Novo Nordisk,1.0,0,0,0.0,Ja,
"Gregaard, Jonas",Lotto,1.4,0,0,0.0,Ja,
"Grégoire, Romain",Groupama - FDJ,9.6,0,0,0.0,,"Chrelle, Jarma, Knak"
"Grellier, Fabien",TotalEnergies,1.0,5,0,0.0,Ja,
"Grignard, Sébastien",Lotto,1.0,0,0,0.0,Ja,
